Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Nateglinide,Meglitinides,This drug should not be taken when a meal is missed.,"It can cause hypoglycemia, though usually less severe than longer-acting secretagogues.",It is used to reduce post-meal hyperglycemia in type 2 diabetes mellitus.,It causes a brief burst of insulin release after meals.,It has a rapid onset and short action for meal-time glucose control.,Closes ATP-sensitive potassium channels on pancreatic beta cells to increase insulin secretion.
Pioglitazone,Thiazolidinediones,This drug should be avoided in symptomatic heart failure.,"It can cause weight gain, edema, and increased fracture risk.",It is used to improve insulin resistance in type 2 diabetes mellitus.,It makes fat and muscle tissues respond better to insulin.,It may improve some lipid markers compared with another similar drug.,Activates PPAR-gamma to increase insulin sensitivity and alter glucose and lipid metabolism.
Rosiglitazone,Thiazolidinediones,This drug should be avoided in symptomatic heart failure.,"It can cause edema, weight gain, and increased fracture risk.",It is used to treat type 2 diabetes mellitus with insulin resistance.,It improves the body's response to insulin over days to weeks.,It has had more concern for cardiovascular risk than some similar drugs.,Activates PPAR-gamma to increase insulin sensitivity and alter glucose and lipid metabolism.
Sitagliptin,DPP-4 Inhibitors,This drug should be used carefully in patients with kidney impairment.,"It can cause nasopharyngitis, headache, and rarely pancreatitis.",It is used to treat type 2 diabetes mellitus.,It improves meal-related insulin release and reduces glucagon levels.,It is weight-neutral and has a low risk of hypoglycemia when used alone.,"Inhibits DPP-4, increasing endogenous GLP-1 and GIP activity."
Linagliptin,DPP-4 Inhibitors,This drug is useful when kidney dose adjustment is undesirable.,"It can cause nasopharyngitis, cough, and rarely pancreatitis.",It is used to treat type 2 diabetes mellitus.,It increases meal-related insulin release without usually causing weight gain.,"It is mainly cleared through the bile, so kidney adjustment is usually not needed.","Inhibits DPP-4, increasing endogenous GLP-1 and GIP activity."
Exenatide,GLP-1 Receptor Agonists,This drug should be avoided in patients with a history of medullary thyroid carcinoma or MEN2.,"It can cause nausea, vomiting, weight loss, and rarely pancreatitis.",It is used to treat type 2 diabetes mellitus and can help with weight loss.,It slows gastric emptying and increases fullness after meals.,It was originally derived from a peptide found in Gila monster saliva.,Activates GLP-1 receptors to increase glucose-dependent insulin secretion and decrease glucagon.
Liraglutide,GLP-1 Receptor Agonists,This drug should be avoided in patients with medullary thyroid carcinoma or MEN2.,"It can cause nausea, vomiting, weight loss, and rarely pancreatitis.",It is used for type 2 diabetes mellitus and chronic weight management.,It lowers appetite and improves glucose control after meals.,It is given once daily and has an obesity indication at a higher dose.,Activates GLP-1 receptors to increase glucose-dependent insulin secretion and decrease glucagon.
Empagliflozin,SGLT2 Inhibitors,This drug should be avoided in severe kidney impairment and used carefully during ketoacidosis risk.,"It can cause genital mycotic infections, volume depletion, and euglycemic ketoacidosis.",It is used for type 2 diabetes mellitus and can benefit heart failure and kidney outcomes.,It makes the body lose glucose and water in the urine.,It has strong evidence for cardiovascular mortality benefit in high-risk patients.,"Inhibits SGLT2 in the proximal tubule, decreasing renal glucose reabsorption."
Canagliflozin,SGLT2 Inhibitors,This drug should be avoided in severe kidney impairment and used carefully in patients prone to dehydration.,"It can cause genital mycotic infections, volume depletion, and euglycemic ketoacidosis.",It is used for type 2 diabetes mellitus and diabetic kidney disease risk reduction.,It lowers blood glucose by increasing urinary glucose loss.,It has been associated with concern for lower-limb amputation risk in some studies.,"Inhibits SGLT2 in the proximal tubule, decreasing renal glucose reabsorption."
Pramlintide,Amylin Analogs,This drug should not be used in patients with poor adherence to insulin monitoring.,It can cause nausea and severe hypoglycemia when combined with insulin.,It is used as an adjunct for mealtime glucose control in diabetes mellitus.,It slows stomach emptying and reduces post-meal glucose spikes.,It is an injectable amylin analog used with insulin rather than replacing it.,"Activates amylin receptors to slow gastric emptying, suppress glucagon, and increase satiety."
Acarbose,Alpha-Glucosidase Inhibitors,This drug should be avoided in inflammatory bowel disease or intestinal obstruction.,"It can cause flatulence, diarrhea, and abdominal discomfort.",It is used to reduce post-meal glucose rises in type 2 diabetes mellitus.,It slows carbohydrate absorption from the intestine.,It must be taken with the first bite of a meal.,Inhibits intestinal brush-border alpha-glucosidase enzymes.
Miglitol,Alpha-Glucosidase Inhibitors,This drug should be avoided in significant gastrointestinal disease or intestinal obstruction.,"It can cause gas, bloating, and diarrhea.",It is used to reduce post-meal hyperglycemia in type 2 diabetes mellitus.,It slows the breakdown and absorption of complex carbohydrates.,It is taken at the start of meals to blunt glucose spikes.,Inhibits intestinal brush-border alpha-glucosidase enzymes.
Levothyroxine,Thyroid Hormones,This drug should be started carefully in older patients or patients with coronary artery disease.,"Too much can cause palpitations, heat intolerance, and bone loss.",It is used to treat hypothyroidism and myxedema coma.,It raises metabolic activity and restores normal thyroid hormone levels.,It is a synthetic T4 with a long half-life and once-daily dosing.,"Provides T4, which is converted to T3 and activates nuclear thyroid hormone receptors."
Liothyronine,Thyroid Hormones,This drug should be used carefully in patients with cardiac disease because it acts quickly.,"Too much can cause tachycardia, anxiety, and heat intolerance.","It is used when rapid thyroid hormone effect is needed, such as severe hypothyroidism.",It quickly increases metabolic rate and cardiovascular stimulation.,It is synthetic T3 and acts faster than T4 preparations.,"Provides T3, which directly activates nuclear thyroid hormone receptors."
Methimazole,Antithyroid Agents,This drug is avoided in the first trimester of pregnancy when possible.,"It can cause agranulocytosis, rash, and hepatotoxicity.",It is used to treat hyperthyroidism and Graves disease.,It lowers thyroid hormone production over time.,It is usually preferred outside the first trimester because it has less liver toxicity than PTU.,"Inhibits thyroid peroxidase, blocking organification and coupling of iodotyrosines."
Propylthiouracil,Antithyroid Agents,This drug is used carefully because severe liver injury can occur.,"It can cause hepatotoxicity, agranulocytosis, and rash.",It is used for thyroid storm and for hyperthyroidism during the first trimester of pregnancy.,It lowers thyroid hormone levels and reduces peripheral T3 formation.,It is preferred in thyroid storm because it also blocks T4-to-T3 conversion.,Inhibits thyroid peroxidase and inhibits peripheral 5'-deiodinase conversion of T4 to T3.
Prednisone,Glucocorticoids,This drug should be used carefully in active systemic infection unless steroid therapy is needed.,"It can cause hyperglycemia, weight gain, osteoporosis, and adrenal suppression.","It is used for inflammation, autoimmune disease, asthma exacerbations, and many allergic conditions.","It reduces swelling, immune activation, and inflammatory symptoms.",It is an oral prodrug converted by the liver to an active steroid.,Binds intracellular glucocorticoid receptors and changes gene transcription to suppress inflammation.
Dexamethasone,Glucocorticoids,This drug should be used carefully in uncontrolled infection or severe hyperglycemia.,"It can cause hyperglycemia, mood changes, muscle wasting, and adrenal suppression.","It is used for cerebral edema, severe inflammation, and endocrine suppression testing.",It strongly reduces inflammation with very little salt-retaining effect.,It is long acting and has minimal mineralocorticoid activity.,Binds intracellular glucocorticoid receptors and changes gene transcription to suppress inflammation.
Fludrocortisone,Mineralocorticoids,This drug should be used carefully in patients with heart failure or uncontrolled hypertension.,"It can cause edema, hypertension, and hypokalemia.",It is used for adrenal insufficiency and some forms of orthostatic hypotension.,It increases blood volume and helps retain sodium.,It has strong mineralocorticoid activity compared with most steroids.,"Activates mineralocorticoid receptors, increasing sodium reabsorption and potassium excretion."
Semaglutide,,This drug should be avoided in patients with medullary thyroid carcinoma or MEN2.,"It can cause nausea, vomiting, weight loss, and rarely pancreatitis.",It is used for type 2 diabetes mellitus and chronic weight management.,"It lowers appetite, slows gastric emptying, and improves glucose control.",It can be dosed once weekly and produces substantial weight loss in many patients.,Activates GLP-1 receptors to increase glucose-dependent insulin secretion and decrease glucagon.
Dulaglutide,,This drug should be avoided in patients with medullary thyroid carcinoma or MEN2.,"It can cause nausea, vomiting, diarrhea, and rarely pancreatitis.",It is used to treat type 2 diabetes mellitus.,It improves blood glucose control and increases fullness after meals.,It is a once-weekly injectable GLP-1 option.,Activates GLP-1 receptors to increase glucose-dependent insulin secretion and decrease glucagon.
Dapagliflozin,SGLT2 Inhibitors,This drug should be avoided in severe kidney impairment and used carefully during dehydration.,"It can cause genital mycotic infections, urinary infections, and euglycemic ketoacidosis.","It is used for type 2 diabetes mellitus, heart failure, and chronic kidney disease benefit.",It causes glucose and water loss in the urine.,It is commonly used for heart failure benefit even beyond glucose lowering.,"Inhibits SGLT2 in the proximal tubule, decreasing renal glucose reabsorption."
Saxagliptin,,This drug should be used carefully in patients with heart failure risk.,"It can cause nasopharyngitis, headache, and rarely pancreatitis.",It is used to treat type 2 diabetes mellitus.,It increases meal-related insulin release and lowers glucagon.,It has had more heart failure hospitalization concern than some related drugs.,"Inhibits DPP-4, increasing endogenous GLP-1 and GIP activity."
Propranolol (for Thyroid Storm),Beta-Blockers,"This drug should be avoided in severe asthma, certain heart blocks, and decompensated heart failure.","It can cause bradycardia, hypotension, bronchospasm, and fatigue.",It is used to control adrenergic symptoms in thyroid storm.,It slows the heart rate and reduces tremor and anxiety.,"At high doses, it also reduces peripheral conversion of T4 to T3.",Blocks beta-1 and beta-2 adrenergic receptors and decreases T4-to-T3 conversion at high doses.
Bromocriptine,Dopamine Agonists,This drug should be avoided in uncontrolled hypertension and used carefully in psychosis.,"It can cause nausea, orthostatic hypotension, and headaches.","It is used for hyperprolactinemia, prolactinoma, and Parkinson disease.",It lowers prolactin release and can improve galactorrhea or infertility from high prolactin.,It is an older ergot-derived dopamine agonist.,"Activates dopamine D2 receptors, which suppresses prolactin secretion."
Cabergoline,Dopamine Agonists,This drug should be avoided in uncontrolled hypertension and significant valvular heart disease.,"It can cause nausea, dizziness, and orthostatic hypotension.",It is used for hyperprolactinemia and prolactin-secreting pituitary tumors.,It lowers prolactin levels and can shrink prolactinomas.,It is long acting and often needs less frequent dosing than bromocriptine.,"Activates dopamine D2 receptors, which suppresses prolactin secretion."
Raloxifene,,This drug should be avoided in patients with active or prior venous thromboembolism.,It can cause hot flashes and venous thromboembolism.,It is used to prevent or treat osteoporosis in postmenopausal women and reduce breast cancer risk.,It strengthens bone while blocking estrogen effects in breast tissue.,It does not stimulate the endometrium like some estrogen agonists can.,Selectively modulates estrogen receptors as an agonist in bone and antagonist in breast and uterus.
Teriparatide,,This drug should be avoided in patients at increased risk for osteosarcoma.,"It can cause hypercalcemia, nausea, and leg cramps.",It is used for severe osteoporosis with high fracture risk.,It builds new bone and increases bone mineral density.,It is an anabolic osteoporosis drug given intermittently rather than continuously.,"Intermittently activates PTH receptors, stimulating osteoblast activity more than osteoclast activity."
Omeprazole,Proton Pump Inhibitors,This drug should be used carefully in patients at risk for C. difficile infection or low magnesium.,"It can cause headache, diarrhea, hypomagnesemia, and increased fracture risk with long use.","It is used for GERD, peptic ulcer disease, and H. pylori regimens.",It strongly lowers stomach acid production.,It is a classic acid-suppressing drug with many CYP2C19 interactions.,Irreversibly inhibits the gastric parietal cell H+/K+-ATPase proton pump.
Pantoprazole,Proton Pump Inhibitors,This drug should be used carefully when long-term acid suppression is not needed.,"It can cause diarrhea, low magnesium, and increased risk of C. difficile infection.","It is used for GERD, ulcers, and stress ulcer prophylaxis in hospitalized patients.",It strongly reduces gastric acid secretion.,It is often chosen in hospitals and has fewer CYP interactions than omeprazole.,Irreversibly inhibits the gastric parietal cell H+/K+-ATPase proton pump.
Esomeprazole,Proton Pump Inhibitors,This drug should be used carefully when prolonged acid suppression could cause harm.,"It can cause headache, diarrhea, hypomagnesemia, and vitamin B12 deficiency with long use.",It is used for GERD and erosive esophagitis.,It decreases stomach acid and helps heal acid-related mucosal injury.,It is the S-isomer of omeprazole.,Irreversibly inhibits the gastric parietal cell H+/K+-ATPase proton pump.
Ranitidine,H2 Receptor Antagonists,This drug should be avoided if a safer available alternative is preferred due to prior contamination concerns.,"It can cause headache, dizziness, and diarrhea.",It was used for GERD and peptic ulcer disease.,It lowers stomach acid less strongly than proton pump inhibitors.,It was widely used historically but has been withdrawn in many markets.,"Blocks H2 receptors on gastric parietal cells, decreasing acid secretion."
Famotidine,H2 Receptor Antagonists,This drug should be dose-adjusted in significant kidney impairment.,"It can cause headache, dizziness, and constipation or diarrhea.","It is used for GERD, dyspepsia, and peptic ulcer disease.","It decreases stomach acid production, especially overnight.",It has fewer antiandrogen and CYP effects than cimetidine.,"Blocks H2 receptors on gastric parietal cells, decreasing acid secretion."
Cimetidine,H2 Receptor Antagonists,This drug should be used carefully in patients taking many CYP-metabolized medications.,"It can cause gynecomastia, impotence, confusion, and drug interactions.",It is used for GERD and peptic ulcer disease.,It decreases gastric acid secretion.,It is known for antiandrogen effects and strong CYP inhibition.,"Blocks H2 receptors on gastric parietal cells, decreasing acid secretion."
Aluminum Hydroxide,Antacids,This drug should be used carefully in kidney disease because aluminum can accumulate.,It can cause constipation and hypophosphatemia.,"It is used for heartburn, dyspepsia, and phosphate binding in kidney disease.",It neutralizes stomach acid and can bind phosphate in the gut.,"It tends to constipate, unlike magnesium-containing antacids.",Chemically neutralizes gastric acid and binds intestinal phosphate.
Magnesium Hydroxide,Antacids,This drug should be used carefully in kidney disease because it can accumulate.,It can cause diarrhea and hypermagnesemia.,It is used for heartburn and constipation.,It neutralizes stomach acid and draws water into the bowel.,"It commonly causes diarrhea, which is the opposite of aluminum-containing antacids.",Chemically neutralizes gastric acid and osmotically retains water in the intestine.
Metoclopramide,Prokinetic Agents,This drug should be avoided in bowel obstruction and Parkinson disease when possible.,"It can cause acute dystonia, parkinsonism, and tardive dyskinesia.",It is used for gastroparesis and nausea or vomiting.,It increases stomach emptying and improves forward movement through the upper GI tract.,It crosses the blood-brain barrier and can cause extrapyramidal symptoms.,Blocks dopamine D2 receptors and increases cholinergic activity in the GI tract.
Domperidone,Prokinetic Agents,This drug should be avoided in patients with prolonged QT interval or serious arrhythmia risk.,It can cause QT prolongation and hyperprolactinemia.,It is used for gastroparesis and nausea in some settings.,It increases gastric motility with fewer central nervous system effects.,It poorly crosses the blood-brain barrier compared with metoclopramide.,"Blocks peripheral dopamine D2 receptors, increasing GI motility and antiemetic effects."
Loperamide,Antidiarrheals,"This drug should be avoided in bloody diarrhea, high fever, or suspected C. difficile colitis.","It can cause constipation, abdominal cramps, and toxic megacolon in infectious colitis.",It is used for symptomatic treatment of noninvasive diarrhea.,It slows intestinal movement and reduces stool frequency.,It acts mainly in the gut and has minimal central opioid effect at normal doses.,Activates peripheral mu-opioid receptors in the gut to reduce intestinal motility.
Diphenoxylate/Atropine,Antidiarrheals,This drug should be avoided in infectious or inflammatory diarrhea with systemic symptoms.,"It can cause constipation, sedation, and anticholinergic effects.",It is used for symptomatic treatment of diarrhea.,It slows bowel movement and decreases stool output.,Atropine is added to discourage abuse and overdose.,"Activates intestinal mu-opioid receptors to reduce motility, while atropine adds anticholinergic effects."
Psyllium,Laxatives,This drug should be avoided in bowel obstruction or trouble swallowing without enough water.,"It can cause bloating, gas, and choking if taken dry.",It is used for constipation and can help with irritable bowel syndrome stool regulation.,It increases stool bulk and helps stool pass more easily.,It is a bulk-forming fiber that must be taken with adequate fluid.,Absorbs water in the intestine to form a bulky gel that stimulates peristalsis.
Docusate,Laxatives,This drug should not be used when bowel obstruction is suspected.,It can cause mild abdominal cramping and diarrhea.,It is used to prevent constipation when straining should be avoided.,It softens stool and makes bowel movements easier.,"It is a stool softener, not a strong stimulant laxative.",Acts as a surfactant that allows water and fat to enter stool.
Senna,Laxatives,This drug should be avoided in bowel obstruction or undiagnosed severe abdominal pain.,"It can cause abdominal cramping, diarrhea, and electrolyte loss.",It is used for short-term treatment of constipation.,It stimulates bowel contractions to produce a bowel movement.,It is a stimulant laxative that commonly causes cramping.,Stimulates enteric nerves and increases colonic peristalsis.
Mesalamine,Aminosalicylates,This drug should be used carefully in kidney disease.,"It can cause headache, nausea, and rare interstitial nephritis.",It is used to treat mild to moderate ulcerative colitis.,It reduces inflammation in the intestinal lining.,It acts topically in the colon and has fewer systemic effects than steroids.,Inhibits inflammatory prostaglandin and leukotriene production in the intestinal mucosa.
Infliximab,Biologic Agents,This drug should not be started in active serious infection or untreated latent tuberculosis.,"It can cause infusion reactions, infections, and reactivation of tuberculosis.","It is used for Crohn disease, ulcerative colitis, rheumatoid arthritis, and other inflammatory diseases.",It reduces immune-driven inflammation and can heal fistulas in Crohn disease.,It is a chimeric monoclonal antibody given by IV infusion.,Binds and neutralizes TNF-alpha.
Octreotide,Somatostatin Analogs,This drug should be used carefully in patients with gallbladder disease or diabetes.,"It can cause gallstones, steatorrhea, and glucose abnormalities.","It is used for acromegaly, variceal bleeding, carcinoid syndrome, and VIPoma.",It decreases many hormone secretions and reduces splanchnic blood flow.,It is a long-acting somatostatin analog used in several endocrine and GI emergencies.,"Activates somatostatin receptors to inhibit secretion of GH, TSH, insulin, glucagon, VIP, and other peptides."
Lactulose,Ammonia-Lowering Agents,This drug should be used carefully if diarrhea or dehydration is already present.,"It can cause bloating, cramps, flatulence, and diarrhea.",It is used for hepatic encephalopathy and constipation.,It traps ammonia in the gut and increases its removal in stool.,The dose is often titrated to produce multiple soft stools per day.,"Acidifies colonic contents, converting ammonia to ammonium and promoting osmotic catharsis."
Rifaximin,Ammonia-Lowering Agents,This drug is not useful for systemic infections because it is minimally absorbed.,"It can cause nausea, abdominal pain, and peripheral edema.",It is used for hepatic encephalopathy prevention and traveler diarrhea from noninvasive E. coli.,It lowers gut bacterial production of ammonia and toxins.,"It stays mostly in the gut, which limits systemic toxicity.",Inhibits bacterial DNA-dependent RNA polymerase in the intestinal lumen.
Ondansetron,,This drug should be used carefully in patients with prolonged QT interval.,"It can cause headache, constipation, and QT prolongation.","It is used for nausea and vomiting, especially after chemotherapy, radiation, or surgery.",It reduces the urge to vomit without causing much sedation.,It is especially helpful for serotonin-mediated nausea from chemotherapy.,Blocks 5-HT3 serotonin receptors in the chemoreceptor trigger zone and vagal afferents.
Lubiprostone,,This drug should not be used in known or suspected mechanical bowel obstruction.,"It can cause nausea, diarrhea, and abdominal pain.",It is used for chronic idiopathic constipation and constipation-predominant irritable bowel syndrome.,It increases intestinal fluid and makes stool easier to pass.,It is a chloride channel activator used for constipation rather than acute diarrhea.,"Activates intestinal ClC-2 chloride channels, increasing chloride-rich fluid secretion."
"Ursodeoxycholic Acid (UDCA, Ursodiol)",,This drug is not used for calcified gallstones or complete biliary obstruction.,It can cause diarrhea and mild weight gain.,It is used for primary biliary cholangitis and some cholesterol gallstones.,It makes bile less toxic and can slowly dissolve cholesterol stones.,It is a hydrophilic bile acid that protects cholangiocytes.,Replaces more toxic bile acids and decreases hepatic cholesterol secretion into bile.
Misoprostol,Prostaglandin Analogs,This drug is contraindicated in pregnancy when used for ulcer prevention.,"It can cause diarrhea, abdominal cramping, and uterine contractions.",It is used to prevent NSAID-induced ulcers and to induce uterine evacuation in obstetric care.,It protects the stomach lining and can soften the cervix.,It is a prostaglandin E1 analog with both GI and uterine effects.,Activates prostaglandin EP receptors to increase mucus and bicarbonate and decrease gastric acid secretion.
Ibuprofen,NSAIDs,"This drug should be avoided in active peptic ulcer bleeding, severe kidney disease, and late pregnancy.","It can cause gastritis, kidney injury, and increased bleeding risk.","It is used for pain, fever, and inflammation.","It reduces pain, swelling, and fever.",It is a common over-the-counter NSAID with a relatively short duration.,"Reversibly inhibits COX-1 and COX-2, decreasing prostaglandin synthesis."
Naproxen,NSAIDs,"This drug should be avoided in active GI bleeding, severe kidney disease, and late pregnancy.","It can cause ulcers, kidney injury, and fluid retention.","It is used for pain, fever, dysmenorrhea, gout flares, and inflammatory arthritis.",It reduces inflammation and provides longer pain relief than many similar drugs.,"It has a longer half-life than ibuprofen, allowing less frequent dosing.","Reversibly inhibits COX-1 and COX-2, decreasing prostaglandin synthesis."
Celecoxib,NSAIDs,This drug should be avoided in sulfonamide allergy and high cardiovascular risk when possible.,"It can cause kidney injury, edema, and increased thrombotic cardiovascular risk.","It is used for osteoarthritis, rheumatoid arthritis, and pain with lower GI ulcer risk.",It reduces pain and inflammation with less platelet effect.,It selectively targets COX-2 and has less GI toxicity than nonselective NSAIDs.,"Selectively inhibits COX-2, decreasing inflammatory prostaglandin synthesis."
Acetaminophen,Acetaminophen,This drug should be avoided or limited in severe liver disease or heavy alcohol use.,Overdose can cause severe hepatic necrosis.,It is used for pain and fever but not strong inflammation.,It lowers fever and relieves mild to moderate pain.,It has little anti-inflammatory effect and does not impair platelets like NSAIDs.,"Inhibits central prostaglandin synthesis, likely through CNS COX inhibition."
Morphine,Opioid Analgesics,This drug should be used carefully in respiratory depression and severe hypotension.,"It can cause respiratory depression, constipation, miosis, and histamine release.",It is used for severe pain and pain from myocardial infarction or cancer.,It decreases pain perception and can cause sedation and euphoria.,It commonly causes histamine-related itching and hypotension.,"Activates mu-opioid receptors, decreasing neurotransmitter release and ascending pain transmission."
Codeine,Opioid Analgesics,This drug should be avoided in children after tonsillectomy or in known ultrarapid CYP2D6 metabolizers.,"It can cause sedation, constipation, respiratory depression, and nausea.",It is used for mild pain and cough suppression.,It reduces cough and provides weak opioid pain relief.,It is a prodrug that depends on CYP2D6 conversion for much of its effect.,"Is converted to morphine, which activates mu-opioid receptors."
Oxycodone,Opioid Analgesics,This drug should be avoided or used very carefully in severe respiratory depression.,"It can cause constipation, sedation, respiratory depression, and dependence.",It is used for moderate to severe pain.,It decreases pain perception and can produce euphoria.,It is a commonly prescribed oral opioid with high misuse potential.,"Activates mu-opioid receptors, decreasing neurotransmitter release and pain signaling."
Fentanyl,Opioid Analgesics,This drug should be avoided in opioid-naive patients unless carefully supervised.,"It can cause profound respiratory depression, chest wall rigidity, and constipation.","It is used for severe pain, anesthesia, and procedural sedation.",It produces very strong pain relief with rapid onset.,It is extremely potent and highly lipophilic compared with morphine.,"Activates mu-opioid receptors, decreasing neurotransmitter release and pain transmission."
Tramadol,Opioid Analgesics,This drug should be avoided with MAO inhibitors or in patients with high seizure risk.,"It can cause seizures, serotonin syndrome, nausea, and dependence.",It is used for moderate pain.,It reduces pain through opioid and monoamine effects.,It has weaker opioid activity but added serotonin and norepinephrine effects.,Activates mu-opioid receptors and inhibits serotonin and norepinephrine reuptake.
Naloxone,Opioid Antagonists,This drug has no major contraindication in life-threatening opioid overdose.,"It can cause acute opioid withdrawal, agitation, vomiting, and hypertension.",It is used to reverse opioid overdose and respiratory depression.,It rapidly restores breathing in opioid toxicity.,It works quickly but may wear off before longer-acting opioids do.,"Competitively antagonizes opioid receptors, especially mu receptors."
Naltrexone,Opioid Antagonists,"This drug should be avoided in acute hepatitis, liver failure, or current opioid use.","It can cause nausea, headache, and hepatotoxicity at high doses.",It is used for alcohol use disorder and relapse prevention in opioid use disorder.,It reduces opioid reward and can reduce alcohol cravings.,It is long acting and can precipitate withdrawal if opioids are still present.,"Competitively antagonizes opioid receptors, especially mu receptors."
Granisetron,Serotonin Antagonists,This drug should be used carefully in patients with prolonged QT interval.,"It can cause headache, constipation, and QT prolongation.","It is used to prevent nausea and vomiting from chemotherapy, radiation, or surgery.",It reduces vomiting signals from the gut and brainstem.,It is a long-acting 5-HT3 blocker used for chemotherapy-related nausea.,Blocks 5-HT3 serotonin receptors on vagal afferents and in the chemoreceptor trigger zone.
Prochlorperazine,Dopamine Antagonists,This drug should be avoided in Parkinson disease and severe CNS depression when possible.,"It can cause dystonia, akathisia, sedation, and QT prolongation.","It is used for severe nausea, vomiting, and sometimes migraine-associated nausea.",It suppresses vomiting but can cause movement-related side effects.,It is a phenothiazine antiemetic with antipsychotic-like adverse effects.,Blocks dopamine D2 receptors in the chemoreceptor trigger zone.
Promethazine,Dopamine Antagonists,This drug should be avoided in very young children because of respiratory depression risk.,"It can cause sedation, anticholinergic effects, and hypotension.","It is used for nausea, vomiting, motion sickness, and allergy symptoms.",It reduces nausea and causes strong sedation.,It has prominent antihistamine and anticholinergic effects compared with many antiemetics.,Blocks H1 histamine receptors and has anticholinergic and dopamine-blocking activity.
Torsemide,Loop Diuretics,This drug should be used carefully in severe dehydration or electrolyte depletion.,"It can cause hypokalemia, metabolic alkalosis, ototoxicity, and volume depletion.","It is used for edema from heart failure, cirrhosis, or kidney disease.",It increases urine output and reduces fluid overload.,It has better oral bioavailability and a longer duration than furosemide.,Inhibits the Na-K-2Cl cotransporter in the thick ascending limb.
Indapamide,Thiazide Diuretics,This drug should be used carefully in severe kidney disease or sulfonamide allergy.,"It can cause hyponatremia, hypokalemia, hyperuricemia, and hyperglycemia.",It is used for hypertension and edema.,It lowers blood pressure by reducing volume and relaxing blood vessels over time.,It is thiazide-like and often used for hypertension with long action.,Inhibits the Na-Cl cotransporter in the distal convoluted tubule.
Amiloride,Potassium-Sparing Diuretics,This drug should be avoided in hyperkalemia and severe kidney impairment.,"It can cause hyperkalemia, nausea, and dizziness.",It is used to prevent potassium loss with other diuretics and to treat Liddle syndrome.,It increases sodium loss while conserving potassium.,It directly blocks ENaC and can treat lithium-induced nephrogenic diabetes insipidus.,Blocks epithelial sodium channels in the collecting duct.
Acetazolamide,Carbonic Anhydrase Inhibitors,"This drug should be avoided in sulfonamide allergy, severe liver disease, and marked electrolyte depletion.","It can cause metabolic acidosis, kidney stones, and paresthesias.","It is used for glaucoma, altitude sickness, and idiopathic intracranial hypertension.",It causes bicarbonate loss in urine and lowers aqueous humor production.,It can intentionally create a mild metabolic acidosis to help altitude sickness.,Inhibits carbonic anhydrase in the proximal tubule and ciliary body.
Mannitol,Osmotic Diuretics,"This drug should be avoided in pulmonary edema, severe dehydration, and active intracranial bleeding except during surgery.","It can cause pulmonary edema, dehydration, and electrolyte changes.",It is used to lower intracranial pressure and treat some cases of acute glaucoma.,It pulls water out of tissues and increases urine flow.,"It is filtered but not reabsorbed, creating osmotic diuresis.","Increases tubular fluid osmolality, reducing water reabsorption."
Finasteride,5α-Reductase Inhibitors,This drug should not be handled by pregnant patients if tablets are crushed or broken.,"It can cause decreased libido, erectile dysfunction, and gynecomastia.",It is used for benign prostatic hyperplasia and male-pattern hair loss.,It shrinks the prostate over time and can slow hair loss.,It mainly blocks the type II 5-alpha-reductase isoenzyme.,"Inhibits 5-alpha-reductase, decreasing conversion of testosterone to DHT."
Dutasteride,5α-Reductase Inhibitors,This drug should not be handled by pregnant patients if capsules leak.,"It can cause decreased libido, erectile dysfunction, and gynecomastia.",It is used for benign prostatic hyperplasia.,It lowers DHT and gradually reduces prostate size.,It blocks both type I and type II 5-alpha-reductase isoenzymes.,"Inhibits 5-alpha-reductase, decreasing conversion of testosterone to DHT."
Nitrofurantoin,Urinary Antiseptics,This drug should be avoided in significant kidney impairment and near-term pregnancy.,"It can cause pulmonary fibrosis, hemolysis in G6PD deficiency, and peripheral neuropathy.",It is used for uncomplicated lower urinary tract infection.,It concentrates in urine and kills bacteria in the bladder.,It is not appropriate for pyelonephritis because tissue levels are low.,"Forms reactive intermediates that damage bacterial DNA, ribosomal proteins, and other macromolecules."
Desmopressin (DDAVP),ADH Agonists,This drug should be used carefully in hyponatremia or patients who cannot restrict fluid intake.,"It can cause hyponatremia, water retention, and seizures in severe cases.","It is used for central diabetes insipidus, nocturnal enuresis, and von Willebrand disease.",It decreases urine output and can increase von Willebrand factor release.,It has stronger V2 activity and much less vasopressor effect than vasopressin.,"Activates V2 receptors, increasing aquaporin insertion and release of von Willebrand factor and factor VIII."
Tolvaptan,ADH Antagonists,This drug should not be used when the patient cannot sense or respond to thirst.,"It can cause thirst, polyuria, hypernatremia, and liver injury.",It is used for clinically significant euvolemic or hypervolemic hyponatremia.,It increases free water loss without major sodium loss.,It is an oral aquaretic drug that directly opposes ADH in the kidney.,"Blocks V2 receptors in the collecting duct, preventing aquaporin insertion."
